element,count
wd:Q31756986,23
wd:Q17519152,23
wd:Q622852,23
wd:Q83367,23
wd:Q17376908,23
wd:Q5710433,23
wd:Q947873,23
wd:Q41567,23
wd:Q247073,22
wd:Q21094819,22
wd:Q33231,22
wd:Q107425,22
wd:Q84,22
wd:Q13723070,22
wd:Q491040,22
wd:Q131578,22
wd:Q809,22
wd:Q5287,22
wd:Q82799,22
wd:Q764,22
wd:Q41710,22
wd:Q652,22
wd:Q83620,22
wd:Q11448906,22
wd:Q11063,22
wd:Q19595382,21
wd:Q22670030,21
wd:Q15620943,21
wd:Q12140,21
wd:Q49084,21
wd:Q11573,21
wd:Q8752,21
wd:Q123705,21
wd:Q1281618,20
wd:Q1412,20
wd:Q309,20
wd:Q2996394,20
wd:Q950135,20
wd:Q201658,20
wd:Q877724,20
wd:Q349,20
wd:Q47064,20
wd:Q1097630,20
wd:Q4671277,20
wd:Q188094,20
wd:Q1052281,20
wd:Q506240,20
wd:Q12720953,19
wd:Q864380,19
wd:Q5386,19
wd:Q13406554,19
wd:Q14350,19
wd:Q245068,19
wd:Q35869,19
wd:Q106658,19
wd:Q83828,19
wd:Q166118,19
wd:Q11315,19
wd:Q17197366,19
wd:Q5193377,19
wd:Q217526,19
wd:Q6881511,19
wd:Q34636,19
wd:Q12684,19
wd:Q3491904,19
wd:Q3231690,19
wd:Q707813,19
wd:Q159719,18
wd:Q43845,18
wd:Q8436,18
wd:Q699405,18
wd:Q5341295,18
wd:Q313827,18
wd:Q5185279,18
wd:Q52,18
wd:Q235557,18
wd:Q507619,18
wd:Q153,18
wd:Q33384,18
wd:Q173462,18
wd:Q308229,18
wd:Q18131152,18
wd:Q392918,18
wd:Q557141,18
wd:Q2065736,18
wd:Q40831,17
wd:Q1589009,17
wd:Q1370598,17
wd:Q719456,17
wd:Q185529,17
wd:Q1191622,17
wd:Q570116,17
wd:Q18608871,17
wd:Q27643250,17
wd:Q22806,17
wd:Q5916,17
wd:Q131569,17
wd:Q1643757,17
wd:Q3,17
wd:Q20086263,16
wd:Q43193,16
wd:Q473972,16
wd:Q14952,16
wd:Q5707594,16
wd:Q41207,16
wd:Q732577,16
wd:Q943,16
wd:Q1081138,16
wd:Q2143661,16
wd:Q36732,16
wd:Q207326,16
wd:Q1785271,16
wd:Q219,16
wd:Q2319498,16
wd:Q756,16
wd:Q4,15
wd:Q40080,15
wd:Q22988604,15
wd:Q83310,15
wd:Q8065,15
wd:Q180684,15
wd:Q618779,15
wd:Q17205,15
wd:Q15630906,15
wd:Q17451,15
wd:Q28865,15
wd:Q1321,15
wd:Q23925393,15
wd:Q33609,15
wd:Q20296613,15
wd:Q386724,15
wd:Q44148,15
wd:Q83307,15
wd:Q634,15
wd:Q37226,15
wd:Q31157300,15
wd:Q5113,14
wd:Q2416217,14
wd:Q6625963,14
wd:Q5098,14
wd:Q11410,14
wd:Q5482740,14
wd:Q133346,14
wd:Q38911,14
wd:Q191067,14
wd:Q7094076,14
wd:Q43445,14
wd:Q4867740,14
wd:Q207934,14
wd:Q21480300,14
wd:Q130003,14
wd:Q1331793,14
wd:Q18127,14
wd:Q3839081,14
wd:Q11460,14
wd:Q1194951,14
wd:Q2449503,14
wd:Q376799,14
wd:Q35694,14
wd:Q44559,14
wd:Q4369513,13
wd:Q15958185,13
wd:Q10833314,13
wd:Q2743,13
wd:Q3220391,13
wd:Q862597,13
wd:Q21100241,13
wd:Q1153191,13
wd:Q190,13
wd:Q427626,13
wd:Q42948,13
wd:Q11004,13
wd:Q205892,13
wd:Q5773747,13
wd:Q179049,13
wd:Q81197,13
wd:Q644371,13
wd:Q16061881,13
wd:Q7377,13
wd:Q5283,13
wd:Q100047,13
wd:Q124794,13
wd:Q8454,13
wd:Q1149652,13
wd:Q216665,13
wd:Q4915012,13
wd:Q1426271,12
wd:Q132017,12
wd:Q1414135,12
wd:Q3455803,12
wd:Q131476,12
wd:Q628099,12
wd:Q11442,12
wd:Q122195,12
wd:Q18706073,12
wd:Q45393,12
wd:Q102496,12
wd:Q16886136,12
wd:Q18333556,12
wd:Q45382,12
wd:Q24333627,12
wd:Q15700818,12
wd:Q8134,12
wd:Q2616791,12
wd:Q1065,12
wd:Q1329623,12
wd:Q254554,12
wd:Q8338,12
wd:Q14683,11
wd:Q10871364,11
wd:Q5322166,11
wd:Q15296811,11
wd:Q11268,11
wd:Q2494144,11
wd:Q1790144,11
wd:Q15135541,11
wd:Q1366112,11
wd:Q2087181,11
wd:Q283202,11
wd:Q7252,11
wd:Q174834,11
wd:Q11401,11
wd:Q847017,11
wd:Q21503252,11
wd:Q54050,11
wd:Q861259,11
wd:Q3512806,11
wd:Q15727816,11
wd:Q17350442,11
wd:Q202595,11
wd:Q7333267,11
wd:Q1441762,11
wd:Q234262,11
wd:Q403523,11
wd:Q25796237,11
wd:Q4976993,11
wd:Q24862,11
wd:Q19389637,11
wd:Q493522,11
wd:Q7291,11
wd:Q870,11
wd:Q48473,11
wd:Q151885,11
wd:Q178885,11
wd:Q208255,11
wd:Q202866,11
wd:Q107390,11
wd:Q10737,10
wd:Q79913,10
wd:Q15980158,10
wd:Q18123741,10
wd:Q35872,10
wd:Q4271324,10
wd:Q5296,10
wd:Q336,10
wd:Q180516,10
wd:Q17278,10
wd:Q27020041,10
wd:Q34740,10
wd:Q829277,10
wd:Q488383,10
wd:Q483110,10
wd:Q26270618,10
wd:Q23038345,10
wd:Q24229398,10
wd:Q880371,10
wd:Q1778821,10
wd:Q19723451,10
wd:Q1549591,10
wd:Q332154,10
wd:Q33881,10
wd:Q578,10
wd:Q25295,10
wd:Q34228,10
wd:Q968159,10
wd:Q81672,10
wd:Q12097,10
wd:Q35666,10
wd:Q8434,10
wd:Q8495,10
wd:Q822146,9
wd:Q1323212,9
wd:Q188874,9
wd:Q3501317,9
wd:Q2539,9
wd:Q101843,9
wd:Q65943,9
wd:Q175111,9
wd:Q7150,9
wd:Q205985,9
wd:Q238231,9
wd:Q276,9
wd:Q20650761,9
wd:Q481289,9
wd:Q192350,9
wd:Q18608993,9
wd:Q166142,9
wd:Q889821,9
wd:Q2465832,9
wd:Q17051044,9
wd:Q1289426,9
wd:Q820477,9
wd:Q174219,9
wd:Q11085,9
wd:Q1357964,9
wd:Q2491498,9
wd:Q766,9
wd:Q13415036,9
wd:Q1875615,9
wd:Q7372078,9
wd:Q17489659,9
wd:Q174782,9
wd:Q878123,9
wd:Q11399,9
wd:Q11422,9
wd:Q2983893,9
wd:Q3257686,9
wd:Q123,9
wd:Q1344,9
wd:Q56022,9
wd:Q1792379,9
wd:Q93315,9
wd:Q141488,9
wd:Q5283531,9
wd:Q7188,9
wd:Q3126128,9
wd:Q220659,9
wd:Q214609,9
wd:Q93301,9
wd:Q667509,9
wd:Q8513,9
wd:Q2088357,9
wd:Q25265,9
wd:Q82772,9
wd:Q1565828,9
wd:Q1400853,9
wd:Q36496,9
wd:Q19847637,9
wd:Q336144,9
wd:Q1231865,9
wd:Q48422,9
wd:Q5716684,9
wd:Q189280,9
wd:Q14467526,9
wd:Q188784,9
wd:Q767728,9
wd:Q3292203,8
wd:Q205375,8
wd:Q6501447,8
wd:Q29819756,8
wd:Q623109,8
wd:Q25110269,8
wd:Q642946,8
wd:Q99,8
wd:Q19833377,8
wd:Q2385804,8
wd:Q11755880,8
wd:Q132821,8
wd:Q40231,8
wd:Q7437892,8
wd:Q1952852,8
wd:Q315,8
wd:Q329759,8
wd:Q10884,8
wd:Q18593264,8
wd:Q20667187,8
wd:Q60186,8
wd:Q9121,8
wd:Q28045079,8
wd:Q907311,8
wd:Q15260617,8
wd:Q3943414,8
wd:Q12284,8
wd:Q32815,8
wd:Q179248,8
wd:Q595452,8
wd:Q1357601,8
wd:Q765633,8
wd:Q5883980,8
wd:Q159354,8
wd:Q134556,8
wd:Q309314,8
wd:Q1763527,8
wd:Q1191549,8
wd:Q35749,8
wd:Q4663261,8
wd:Q728937,8
wd:Q131656,8
wd:Q34627,8
wd:Q3950,8
wd:Q702492,8
wd:Q486748,8
wd:Q4991371,8
wd:Q45762,8
wd:Q215844,8
wd:Q19020,8
wd:Q25930719,8
wd:Q10990,8
wd:Q6505795,8
wd:Q18647515,8
wd:Q28389,8
wd:Q37517,8
wd:Q24354,8
wd:Q183945,8
wd:Q494829,8
wd:Q31629,8
wd:Q759421,8
wd:Q23305046,8
wd:Q28803,8
wd:Q167346,8
wd:Q42213,8
wd:Q331795,8
wd:Q13217683,8
wd:Q2464485,8
wd:Q83376,8
wd:Q6784672,7
wd:Q1134686,7
wd:Q178,7
wd:Q3389302,7
wd:Q858036,7
wd:Q3391743,7
wd:Q653928,7
wd:Q7860,7
wd:Q2188189,7
wd:Q5880,7
wd:Q50337,7
wd:Q40218,7
wd:Q17012,7
wd:Q16010345,7
wd:Q20719696,7
wd:Q2057971,7
wd:Q40050,7
wd:Q843905,7
wd:Q11204,7
wd:Q340069,7
wd:Q331483,7
wd:Q24566025,7
wd:Q1900326,7
wd:Q1521410,7
wd:Q234460,7
wd:Q1318295,7
wd:Q2393187,7
wd:Q1200828,7
wd:Q15125752,7
wd:Q188509,7
wd:Q13218630,7
wd:Q164240,7
wd:Q170885,7
wd:Q170285,7
wd:Q207628,7
wd:Q93267,7
wd:Q2424752,7
wd:Q12570,7
wd:Q36524,7
wd:Q1234713,7
wd:Q48349,7
wd:Q24771787,7
wd:Q1601794,7
wd:Q251355,7
wd:Q140,7
wd:Q101991,7
wd:Q10791,7
wd:Q520549,7
wd:Q47912,7
wd:Q47168,7
wd:Q11629,7
wd:Q9045502,7
wd:Q48270,7
wd:Q216107,7
wd:Q9288,7
wd:Q249556,7
wd:Q502895,7
wd:Q4421,7
wd:Q39201,7
wd:Q1371562,7
wd:Q3722420,7
wd:Q13417114,7
wd:Q223557,7
wd:Q8076,7
wd:Q22687,7
wd:Q15631401,7
wd:Q152,7
wd:Q418,7
wd:Q20086260,7
wd:Q849854,7
wd:Q13219447,7
wd:Q744913,7
wd:Q11264216,7
wd:Q18783400,7
wd:Q1030034,7
wd:Q15642541,7
wd:Q8246794,7
wd:Q1568,7
wd:Q407595,7
wd:Q928764,7
wd:Q622512,6
wd:Q38695,6
wd:Q125928,6
wd:Q212805,6
wd:Q808,6
wd:Q903809,6
wd:Q42106,6
wd:Q15091377,6
wd:Q24075706,6
wd:Q49614,6
wd:Q2407,6
wd:Q612229,6
wd:Q28007056,6
wd:Q20820424,6
wd:Q17489160,6
wd:Q1684600,6
wd:Q45959,6
wd:Q154,6
wd:Q18608756,6
wd:Q845945,6
wd:Q9135,6
wd:Q224700,6
wd:Q2472587,6
wd:Q8366,6
wd:Q35509,6
wd:Q21996347,6
wd:Q18343316,6
wd:Q9730,6
wd:Q1397,6
wd:Q1269299,6
wd:Q7946,6
wd:Q1322263,6
wd:Q216353,6
wd:Q327008,6
wd:Q186516,6
wd:Q135436,6
wd:Q1071,6
wd:Q13226383,6
wd:Q23712,6
wd:Q744038,6
wd:Q3184121,6
wd:Q624240,6
wd:Q13955,6
wd:Q11353,6
wd:Q5633421,6
wd:Q18674739,6
wd:Q49844,6
wd:Q14850694,6
wd:Q25053937,6
wd:Q18618644,6
wd:Q636099,6
wd:Q23646062,6
wd:Q105731,6
wd:Q473708,6
wd:Q581714,6
wd:Q62832,6
wd:Q21224061,6
wd:Q35127,6
wd:Q1529096,6
wd:Q1845,6
wd:Q2730732,6
wd:Q864503,6
wd:Q7216840,6
wd:Q395,6
wd:Q18618628,6
wd:Q1021645,6
wd:Q155223,6
wd:Q79719,6
wd:Q4260475,6
wd:Q23444,6
wd:Q906278,6
wd:Q1254874,6
wd:Q431289,6
wd:Q31029044,6
wd:Q204570,6
wd:Q6979593,6
wd:Q193556,6
wd:Q1434505,6
wd:Q54837,6
wd:Q476921,6
wd:Q1267632,6
wd:Q1460232,6
wd:Q79798,6
wd:Q29043227,6
wd:Q14860489,6
wd:Q4423781,5
wd:Q19832486,5
wd:Q20982366,5
wd:Q1071027,5
wd:Q15220429,5
wd:Q4272761,5
wd:Q11127777,5
wd:Q488111,5
wd:Q386426,5
wd:Q728904,5
wd:Q11028,5
wd:Q180958,5
wd:Q42603,5
wd:Q478798,5
wd:Q7239,5
wd:Q494756,5
wd:Q14795564,5
wd:Q1184840,5
wd:Q52371,5
wd:Q194188,5
wd:Q30185,5
wd:Q593644,5
wd:Q5372,5
wd:Q4632675,5
wd:Q1200957,5
wd:Q697175,5
wd:Q42889,5
wd:Q11193,5
wd:Q16830339,5
wd:Q7174,5
wd:Q1021290,5
wd:Q178359,5
wd:Q762048,5
wd:Q39631,5
wd:Q326277,5
wd:Q11563,5
wd:Q37110,5
wd:Q2736,5
wd:Q1867183,5
wd:Q420,5
wd:Q4508,5
wd:Q483453,5
wd:Q740445,5
wd:Q265868,5
wd:Q4989906,5
wd:Q15324,5
wd:Q15105893,5
wd:Q11035,5
wd:Q174211,5
wd:Q591041,5
wd:Q192110,5
wd:Q714737,5
wd:Q1978718,5
wd:Q37484,5
wd:Q6593035,5
wd:Q819073,5
wd:Q494721,5
wd:Q20538317,5
wd:Q89,5
wd:Q503186,5
wd:Q891854,5
wd:Q1371279,5
wd:Q5084,5
wd:Q201559,5
wd:Q2669,5
wd:Q1622272,5
wd:Q82595,5
wd:Q162620,5
wd:Q327333,5
wd:Q49848,5
wd:Q1998962,5
wd:Q93204,5
wd:Q105269,5
wd:Q15304003,5
wd:Q488205,5
wd:Q800279,5
wd:Q21199,5
wd:Q634099,5
wd:Q7743,5
wd:Q14469659,5
wd:Q985488,5
wd:Q18618819,5
wd:Q245065,5
wd:Q170483,5
wd:Q2115,5
wd:Q8274,5
wd:Q2041172,5
wd:Q486839,5
wd:Q1073,5
wd:Q154797,5
wd:Q592,5
wd:Q34651,5
wd:Q544,5
wd:Q1032372,5
wd:Q317,5
wd:Q9174,5
wd:Q3502482,5
wd:Q1007870,5
wd:Q7553,5
wd:Q187685,5
wd:Q188473,5
wd:Q1093434,5
wd:Q4233718,5
wd:Q2438638,5
wd:Q7802,5
wd:Q171,5
wd:Q17442446,5
wd:Q38848,5
wd:Q21583365,5
wd:Q1077097,5
wd:Q424583,5
wd:Q10648343,5
wd:Q3816772,5
wd:Q180,5
wd:Q478847,5
wd:Q191992,5
wd:Q855091,5
wd:Q16686022,5
wd:Q1577547,5
wd:Q178706,5
wd:Q10374536,5
wd:Q676899,5
wd:Q2006279,5
wd:Q103817,5
wd:Q7318,5
wd:Q859281,5
wd:Q133485,5
wd:Q133250,5
wd:Q1497364,5
wd:Q130901,5
wd:Q3464665,5
wd:Q82604,5
wd:Q1919815,4
wd:Q18918145,4
wd:Q1093829,4
wd:Q27951364,4
wd:Q13414953,4
wd:Q1076124,4
wd:Q2915955,4
wd:Q484416,4
wd:Q4119870,4
wd:Q1955280,4
wd:Q41274,4
wd:Q162875,4
wd:Q751876,4
wd:Q4502142,4
wd:Q167149,4
wd:Q28955254,4
wd:Q39911,4
wd:Q6636519,4
wd:Q3336843,4
wd:Q20724701,4
wd:Q473858,4
wd:Q1840161,4
wd:Q314729,4
wd:Q1572121,4
wd:Q3370013,4
wd:Q858439,4
wd:Q192776,4
wd:Q25342,4
wd:Q1459186,4
wd:Q2031291,4
wd:Q13400960,4
wd:Q17175676,4
wd:Q38723,4
wd:Q39018,4
wd:Q3769299,4
wd:Q15836568,4
wd:Q181394,4
wd:Q783521,4
wd:Q1336099,4
wd:Q133500,4
wd:Q1818761,4
wd:Q860918,4
wd:Q296955,4
wd:Q175151,4
wd:Q8441,4
wd:Q105,4
wd:Q7210356,4
wd:Q4220917,4
wd:Q1407225,4
wd:Q1204300,4
wd:Q603773,4
wd:Q7737,4
wd:Q275969,4
wd:Q68947,4
wd:Q1795936,4
wd:Q1637706,4
wd:Q1076486,4
wd:Q16110,4
wd:Q15773347,4
wd:Q207299,4
wd:Q1003207,4
wd:Q755309,4
wd:Q5891,4
wd:Q48277,4
wd:Q15720608,4
wd:Q5774403,4
wd:Q1078222,4
wd:Q934744,4
wd:Q2133296,4
wd:Q29645880,4
wd:Q29645886,4
wd:Q213970,4
wd:Q956214,4
wd:Q33602,4
wd:Q189290,4
wd:Q181247,4
wd:Q573,4
wd:Q15303838,4
wd:Q10416961,4
wd:Q204933,4
wd:Q35409,4
wd:Q134447,4
wd:Q10811,4
wd:Q26211545,4
wd:Q4200298,4
wd:Q174876,4
wd:Q1802122,4
wd:Q152081,4
wd:Q936518,4
wd:Q1530022,4
wd:Q15099348,4
wd:Q7550889,4
wd:Q22997934,4
wd:Q318,4
wd:Q207123,4
wd:Q1969448,4
wd:Q1451311,4
wd:Q40357,4
wd:Q8777,4
wd:Q215972,4
wd:Q895526,4
wd:Q1302249,4
wd:Q180744,4
wd:Q1065118,4
wd:Q4201890,4
wd:Q1004,4
wd:Q1193438,4
wd:Q1620797,4
wd:Q134307,4
wd:Q2175765,4
wd:Q730,4
wd:Q3658341,4
wd:Q163740,4
wd:Q1827,4
wd:Q21502402,4
wd:Q786820,4
wd:Q15304597,4
wd:Q18691599,4
wd:Q15243209,4
wd:Q1690211,4
wd:Q18559091,4
wd:Q45722,4
wd:Q6649,4
wd:Q22964476,4
wd:Q217438,4
wd:Q1068623,4
wd:Q7184903,4
wd:Q2934,4
wd:Q16641,4
wd:Q28732711,4
wd:Q1767691,4
wd:Q10943,4
wd:Q2431196,4
wd:Q21980538,4
wd:Q215028,4
wd:Q12796,4
wd:Q15944511,4
wd:Q875538,4
wd:Q1278335,4
wd:Q138,4
wd:Q3289701,4
wd:Q12876,4
wd:Q5937054,4
wd:Q1077784,4
wd:Q22669139,4
wd:Q4120621,4
wd:Q1983062,4
wd:Q155271,4
wd:Q484876,4
wd:Q108149,4
wd:Q2986700,4
wd:Q309901,4
wd:Q15265344,4
wd:Q1440300,4
wd:Q179310,4
wd:Q130368,4
wd:Q11634,4
wd:Q8148,4
wd:Q49008,4
wd:Q81895,4
wd:Q2511322,4
wd:Q27038993,4
wd:Q107,4
wd:Q287,4
wd:Q282,4
wd:Q641226,4
wd:Q1707847,4
wd:Q1054545,4
wd:Q189177,4
wd:Q10843402,4
wd:Q177634,4
wd:Q179111,4
wd:Q18524218,4
wd:Q11086742,4
wd:Q19367406,4
wd:Q277759,4
wd:Q12773225,4
wd:Q121998,4
wd:Q166177,4
wd:Q2045208,4
wd:Q47848,4
wd:Q31028835,4
wd:Q1914636,4
wd:Q11367,4
wd:Q41187,4
wd:Q287198,4
wd:Q19643892,4
wd:Q290691,4
wd:Q10876,4
wd:Q2695280,4
wd:Q28564,4
wd:Q853614,4
wd:Q79925,4
wd:Q223770,4
wd:Q417633,4
wd:Q54872,4
wd:Q1070990,4
wd:Q127448,4
wd:Q1058914,4
wd:Q14818032,4
wd:Q749316,4
wd:Q43164,4
wd:Q16743958,4
wd:Q1621273,4
wd:Q14788575,4
wd:Q14934048,4
wd:Q30241068,3
wd:Q14748,3
wd:Q2813,3
wd:Q17156793,3
wd:Q20074337,3
wd:Q2659904,3
wd:Q282049,3
wd:Q20638126,3
wd:Q17624054,3
wd:Q19765983,3
wd:Q15708736,3
wd:Q29051545,3
wd:Q132241,3
wd:Q14524493,3
wd:Q891723,3
wd:Q220505,3
wd:Q1776764,3
wd:Q235113,3
wd:Q52954,3
wd:Q236122,3
wd:Q4115189,3
wd:Q212980,3
wd:Q317548,3
wd:Q17125263,3
wd:Q121359,3
wd:Q358078,3
wd:Q1569871,3
wd:Q15077340,3
wd:Q625298,3
wd:Q674950,3
wd:Q1620908,3
wd:Q924286,3
wd:Q1286517,3
wd:Q155930,3
wd:Q445741,3
wd:Q193512,3
wd:Q11862829,3
wd:Q83364,3
wd:Q1074,3
wd:Q15634554,3
wd:Q27166344,3
wd:Q607241,3
wd:Q7321258,3
wd:Q2302770,3
wd:Q11023,3
wd:Q879050,3
wd:Q108325,3
wd:Q1523821,3
wd:Q1390,3
wd:Q3238057,3
wd:Q746549,3
wd:Q17370328,3
wd:Q25400,3
wd:Q5852411,3
wd:Q772547,3
wd:Q31465098,3
wd:Q132,3
wd:Q1026962,3
wd:Q3409032,3
wd:Q43310,3
wd:Q480242,3
wd:Q47774,3
wd:Q42295,3
wd:Q109,3
wd:Q696,3
wd:Q470437,3
wd:Q11190,3
wd:Q11369,3
wd:Q1751859,3
wd:Q22675015,3
wd:Q6316828,3
wd:Q13587321,3
wd:Q877517,3
wd:Q15275719,3
wd:Q432,3
wd:Q739882,3
wd:Q27676416,3
wd:Q8514257,3
wd:Q211503,3
wd:Q7748,3
wd:Q8171,3
wd:Q1197685,3
wd:Q2140674,3
wd:Q46261,3
wd:Q474,3
wd:Q93184,3
wd:Q35054,3
wd:Q320501,3
wd:Q4498974,3
wd:Q30559398,3
wd:Q193977,3
wd:Q1054898,3
wd:Q18493502,3
wd:Q1371150,3
wd:Q897797,3
wd:Q25917186,3
wd:Q217327,3
wd:Q750215,3
wd:Q18711682,3
wd:Q28945444,3
wd:Q4438121,3
wd:Q36611,3
wd:Q832084,3
wd:Q133442,3
wd:Q2835898,3
wd:Q862228,3
wd:Q1147753,3
wd:Q21167512,3
wd:Q120,3
wd:Q659103,3
wd:Q11660,3
wd:Q27949697,3
wd:Q28823,3
wd:Q965568,3
wd:Q882149,3
